number of words / sum of frequencies
10000 606353381
14714790 of the
9335872 in the
5933602 to the
4590295 on the
3816075 and the
3569198 for the
3174006 to be
2858419 at the
2592385 with the
2548262 it is
2529464 from the
2314330 by the
2289684 is a
2219348 will be
2066147 of a
1969238 that the
1895485 in a
1726094 as a
1555731 if you
1524060 with a
1487663 is the
1448615 can be
1399034 for a
1287598 has been
1270540 it was
1243190 this is
1219009 have been
1185349 there is
1169187 one of
1163551 to a
1121305 as the
1119687 and a
1107068 the first
1015893 you can
936300 there are
920312 the same
915522 on a
895080 such as
877132 is not
871942 number of
858132 should be
849068 part of
843479 of this
827879 have a
794825 they are
793075 all the
784991 you are
783370 may be
757890 the uk
754998 need to
751036 in this
747512 about the
745441 into the
729651 the world
727685 would be
722388 as well
721608 we have
719581 to make
717112 we are
693431 i have
693420 the most
684234 you have
682652 was a
680605 the new
672228 able to
656358 a new
650520 over the
644201 to have
631112 up to
628557 to do
620303 which is
619193 out of
614543 you will
608634 be a
600335 is to
596599 to get
594473 well as
594072 have to
591836 range of
589442 back to
584546 and i
556138 some of
555675 that is
554928 by a
553124 more than
547613 want to
546939 and to
546108 that it
543411 i was
541811 do not
541458 i am
540153 he was
537302 of their
533148 use of
520495 the following
516378 through the
504935 the best
502156 to see
499460 within the
498160 is an
496296 of our
489687 if the
482737 that you
480163 that they
477860 a few
472239 to take
471400 of these
469550 and it
466066 from a
462543 during the
461594 the other
461120 and other
458941 was the
458772 are not
457162 the end
455492 end of
451780 and is
448960 must be
448831 had been
443492 how to
442327 and in
439463 of his
438596 at a
433232 is that
432273 but the
431818 has a
428768 the last
424279 a number
421668 for example
420347 and that
417407 of your
415916 the university
415160 the time
412857 not be
412782 a good
412665 to help
411424 that we
411137 university of
410994 of all
408850 the next
408771 does not
407943 when the
403155 in which
399775 to use
392983 at least
389494 under the
389203 used to
388912 of an
383405 there was
383196 to provide
382271 the right
380251 is also
380148 and then
377504 to find
377291 the way
376903 in their
376682 we will
373253 and we
373230 could be
370726 a very
368367 it has
364544 you to
360891 the main
358893 but it
358522 are the
358353 access to
357282 they were
357248 going to
356272 what is
352775 that i
352417 be able
349336 in order
347170 they have
346210 i do
344498 between the
344122 it will
342667 based on
337810 after the
337690 that he
335174 the government
334271 we can
333666 like to
331923 a lot
331385 i think
330673 due to
329236 had a
327931 their own
327069 be used
325830 be the
324635 as an
324595 have the
324184 to work
323982 on this
323145 to ensure
321467 so that
319951 the national
319654 order to
318843 to go
318278 for more
318265 for all
317745 the second
316255 rather than
315319 of its
310505 around the
310372 he is
310240 a great
